fault,diff
output/fp_num_189.vcd,1.098901
output/fp_num_182.vcd,1.098901
output/fp_num_178.vcd,1.098901
output/fp_num_184.vcd,1.098901
output/fp_num_195.vcd,1.098901
output/fp_num_177.vcd,1.098901
output/fp_num_200.vcd,1.098901
output/fp_num_186.vcd,1.098901
output/fp_num_188.vcd,1.098901
output/fp_num_196.vcd,1.098901
output/fp_num_198.vcd,1.098901
output/fp_num_192.vcd,1.098901
output/fp_num_181.vcd,1.098901
output/fp_num_183.vcd,1.098901
output/fp_num_190.vcd,1.098901
output/fp_num_9.vcd,0.999001
output/fp_num_34.vcd,0.999001
output/fp_num_33.vcd,0.999001
output/fp_num_37.vcd,0.999001
output/fp_num_23.vcd,0.999001
output/fp_num_32.vcd,0.999001
output/fp_num_12.vcd,0.999001
output/fp_num_19.vcd,0.999001
output/fp_num_14.vcd,0.999001
output/fp_num_29.vcd,0.999001
output/fp_num_22.vcd,0.999001
output/fp_num_13.vcd,0.999001
output/fp_num_8.vcd,0.999001
output/fp_num_27.vcd,0.999001
output/fp_num_24.vcd,0.999001
output/fp_num_28.vcd,0.999001
output/fp_num_10.vcd,0.999001
output/fp_num_17.vcd,0.999001
output/fp_num_11.vcd,0.999001
output/fp_num_35.vcd,0.999001
output/fp_num_16.vcd,0.999001
output/fp_num_25.vcd,0.999001
output/fp_num_36.vcd,0.999001
output/fp_num_21.vcd,0.999001
output/fp_num_31.vcd,0.999001
output/fp_num_18.vcd,0.999001
output/fp_num_15.vcd,0.999001
output/fp_num_20.vcd,0.999001
output/fp_num_7.vcd,0.999001
output/fp_num_26.vcd,0.999001
output/fp_num_30.vcd,0.999001
output/fp_num_552.vcd,0.899101
output/fp_num_562.vcd,0.899101
output/fp_num_549.vcd,0.899101
output/fp_num_561.vcd,0.899101
output/fp_num_548.vcd,0.899101
output/fp_num_546.vcd,0.899101
output/fp_num_550.vcd,0.899101
output/fp_num_564.vcd,0.899101
output/fp_num_544.vcd,0.899101
output/fp_num_556.vcd,0.899101
output/fp_num_538.vcd,0.899101
output/fp_num_543.vcd,0.899101
output/fp_num_557.vcd,0.899101
output/fp_num_559.vcd,0.899101
output/fp_num_536.vcd,0.899101
output/fp_num_565.vcd,0.899101
